row,message_id,message_send_time_utc,measurement_time_utc,country_code,location,city,latitude,longitude,source_type,source_name,parameter_name,parameter_value,parameter_unit
2364,0e984ee7-fd38-51e9-9b2c-12fcc312f183,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETR811,Antwerpen,51.252103,4.491362,government,EEA Belgium,o3,46.0,µg/m³
2365,f43cae6b-b1a4-5e4b-a7fd-f2708f8e0d6c,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETB004,Brussels-Capital Region,50.850811,4.348587,government,EEA Belgium,o3,34.5,µg/m³
2366,34abd0c2-638e-597c-b4ef-8cd95da40916,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETN085,Luxembourg,50.303208,6.001736,government,EEA Belgium,pm25,2.1695,µg/m³
2367,ba6f79cd-c625-52a8-83c9-25d6f80e444f,2022-12-20 04:36:59,2022-12-20 01:00:00,BE,BETR892,Oost-Vlaanderen,51.263037,4.27889,government,EEA Belgium,so2,1.0,µg/m³
2368,23895074-5b96-5593-bac3-0c6f6082c874,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETN035,Vlaams-Brabant,50.977541,4.837618,government,EEA Belgium,pm10,8.9,µg/m³
2369,100ed512-6f86-5d19-898b-890954950a33,2022-12-20 04:23:47,2022-12-20 02:00:00,BE,BETR510,Hainaut,50.416433,4.52113,government,EEA Belgium,pm25,0.719,µg/m³
2370,b5610aab-f9fc-5a18-8405-56b0c2e8d3d9,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETN073,Namur,50.502716,4.988423,government,EEA Belgium,no2,3.0,µg/m³
2371,f990aaf8-68a7-550e-98ae-f6e353b3324a,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETR701,Oost-Vlaanderen,51.058332,3.729298,government,EEA Belgium,pm10,9.9,µg/m³
2372,7c52c9b9-e5ba-5682-9d76-95a2deaec184,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETR731,Oost-Vlaanderen,51.124691,3.739504,government,EEA Belgium,no2,13.0,µg/m³
2373,140f1f5e-5253-54f6-bdd2-43456c79e4ba,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETN132,Luxembourg,49.719281,5.630398,government,EEA Belgium,o3,38.5,µg/m³
2374,62fe4c17-35d0-54dd-96f7-100c0bfaed59,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETN073,Namur,50.502716,4.988423,government,EEA Belgium,o3,55.5,µg/m³
2375,9bdd7460-0f87-5cbb-bd31-287b31ad49d7,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETN029,West-Vlaanderen,51.01628,2.582323,government,EEA Belgium,o3,43.0,µg/m³
2376,4444a732-b0a8-5811-b815-fb298e827193,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETH201,Liege,50.624992,5.547464,government,EEA Belgium,pm25,0.0,µg/m³
2377,90fc4f52-3ba4-5a67-b564-1349058ecdec,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETR501,Hainaut,50.409311,4.452172,government,EEA Belgium,pm25,0.3595,µg/m³
2378,e3229203-f033-5e5c-bd20-ce18ce18b2ac,2022-12-20 04:36:59,2022-12-20 02:00:00,BE,BETR892,Oost-Vlaanderen,51.263037,4.27889,government,EEA Belgium,so2,1.0,µg/m³
2379,571873f2-7640-5522-8919-2fe9486a33ef,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETR510,Hainaut,50.416433,4.52113,government,EEA Belgium,pm25,0.719,µg/m³
2380,28e41604-2377-51af-bcae-4a1f1d5cea8a,2022-12-20 04:36:59,2022-12-20 02:00:00,BE,BETN085,Luxembourg,50.303208,6.001736,government,EEA Belgium,so2,1.0,µg/m³
2381,07c7d026-d835-56b0-a519-8c3de61e5f32,2022-12-20 04:36:59,2022-12-20 01:00:00,BE,BELOB02,West-Vlaanderen,50.914953,3.376212,government,EEA Belgium,pm10,14.4,µg/m³
2382,802b8368-fa2a-5f9a-8081-df73c13f8496,2022-12-20 04:23:49,2022-12-20 01:00:00,BE,BETE814,Limburg,51.082187,5.129718,government,EEA Belgium,no2,3.0,µg/m³
2383,89d64f91-3931-5141-9c41-138a0224b2c5,2022-12-20 04:23:49,2022-12-20 02:00:00,BE,BETR891,Antwerpen,51.255807,4.38536,government,EEA Belgium,no2,11.0,µg/m³
2384,4f321d7f-6f93-5503-84c6-416454867704,2022-12-20 04:23:49,2022-12-20 01:00:00,BE,BETN052,West-Vlaanderen,50.814874,3.322494,government,EEA Belgium,pm25,6.58,µg/m³
2385,558b5e1e-4f18-553e-b010-0205740d091e,2022-12-20 04:23:49,2022-12-20 02:00:00,BE,BETR001,Brussels-Capital Region,50.849665,4.33382,government,EEA Belgium,pm25,4.606,µg/m³
